pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_date,dropoff_date,trip_duration
9.4268316,-0.9273208,,,30-01-20,31-01-20,0
9.4268316,-0.9273208,,,30-01-20,31-01-20,0
9.4113281,-0.8507274,9.4113281,-0.8507274,30-01-20,31-01-20,2100
9.4113281,-0.8507274,9.2878334,-1.5918455,30-01-20,31-01-20,1140
9.3994705,-0.8454659,9.4268316,-0.9273208,30-01-20,31-01-20,720
9.4268316,-0.9273208,9.4268316,-0.9273208,30-01-20,31-01-20,660
9.4113281,-0.8507274,9.3817444,-0.9446149,30-01-20,31-01-20,480
9.4268316,-0.9273208,9.4113281,-0.8507274,30-01-20,31-01-20,180
9.4113281,-0.8507274,9.4268316,-0.9273208,30-01-20,31-01-20,1800
9.4072481,-0.8433972,9.4113281,-0.8507274,30-01-20,31-01-20,600
9.4113281,-0.8507274,9.3355994,-2.2296943,30-01-20,31-01-20,780
9.3355994,-2.2296943,9.4268316,-0.9273208,30-01-20,31-01-20,2280
9.4358448,-0.8446894,9.4268316,-0.9273208,30-01-20,31-01-20,660
9.4268316,-0.9273208,9.4046122,-0.8626149,30-01-20,31-01-20,1080
9.4046122,-0.8626149,9.4157403,-0.8664995,30-01-20,31-01-20,2520
9.4268316,-0.9273208,,,30-01-20,31-01-20,0
9.4358448,-0.8446894,,,30-01-20,31-01-20,0
9.4358448,-0.8446894,,,30-01-20,31-01-20,0
9.4268316,-0.9273208,,,30-01-20,31-01-20,0
9.4268316,-0.9273208,,,31-01-20,01-02-20,0
9.4113281,-0.8507274,,,31-01-20,01-02-20,0
9.4113281,-0.8507274,,,31-01-20,01-02-20,0
9.4113281,-0.8507274,,,31-01-20,01-02-20,0
9.4268316,-0.9273208,,,31-01-20,01-02-20,0
9.3994705,-0.8454659,,,31-01-20,01-02-20,0
9.4500209,-0.8587548,,,31-01-20,01-02-20,0
9.4103166,-0.8637297,,,31-01-20,01-02-20,0
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,3600
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,300
9.41769117,-0.85024867,9.41773267,-0.85019917,04-12-19,04-12-19,1560
9.46240167,-0.8654855,9.41769117,-0.85024867,04-12-19,04-12-19,0
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,120
9.46240167,-0.8654855,9.41773267,-0.85019917,04-12-19,04-12-19,120
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,600
9.40714733,-0.836937,9.46240167,-0.8654855,04-12-19,04-12-19,540
9.40426033,-0.86045117,9.40466733,-0.86036767,04-12-19,04-12-19,960
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,1200
9.46240167,-0.8654855,9.40478617,-0.86037983,04-12-19,04-12-19,1080
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,1320
9.4042895,-0.85220233,9.46240167,-0.8654855,04-12-19,04-12-19,780
9.41805783,-0.85076067,9.4042345,-0.853326,04-12-19,04-12-19,600
9.46240167,-0.8654855,9.46240167,-0.8654855,04-12-19,04-12-19,540
9.39221183,-0.8189775,9.46240167,-0.8654855,04-12-19,04-12-19,120
9.417712,-0.85026517,9.46240167,-0.8654855,04-12-19,04-12-19,1020
9.43345333,-0.868768,9.417712,-0.85026517,04-12-19,04-12-19,720
9.417712,-0.85026517,9.434014,-0.86928583,04-12-19,04-12-19,900
9.417712,-0.85026517,9.417712,-0.85026517,04-12-19,04-12-19,2760
9.46240167,-0.8654855,9.41726467,-0.85115133,05-12-19,05-12-19,0
9.417712,-0.85026517,9.41788033,-0.850819,05-12-19,05-12-19,0
9.46240167,-0.8654855,9.41864367,-0.85055483,05-12-19,05-12-19,0
9.46240167,-0.8654855,9.46240167,-0.8654855,05-12-19,05-12-19,480
9.46240167,-0.8654855,9.46240167,-0.8654855,05-12-19,05-12-19,240
9.40175733,-0.8496695,9.46240167,-0.8654855,05-12-19,05-12-19,300
9.406,-0.8605265,9.40129117,-0.84798517,05-12-19,05-12-19,2760
9.46240167,-0.8654855,9.4064575,-0.86085817,05-12-19,05-12-19,240
9.417712,-0.85026517,9.46240167,-0.8654855,05-12-19,05-12-19,4140
9.46240167,-0.8654855,9.417712,-0.85026517,05-12-19,05-12-19,2280
9.41589617,-0.822287,9.46240167,-0.8654855,05-12-19,05-12-19,660
9.3943855,-0.82324183,9.41589617,-0.822287,05-12-19,05-12-19,240
9.4035865,-0.841496,9.3943855,-0.82324183,05-12-19,05-12-19,420
9.4045715,-0.8603415,9.40361167,-0.84225133,05-12-19,05-12-19,1020
9.37277533,-0.889452,9.4046525,-0.86037417,05-12-19,05-12-19,2580
9.417736,-0.8502495,9.3722731,-0.89213667,05-12-19,05-12-19,1280
9.4030105,-0.84065767,9.41773283,-0.8502735,05-12-19,05-12-19,1140
9.40068467,0.8569817,9.40624783,-0.8424155,05-12-19,05-12-19,1080
9.46240167,-0.8654855,9.39970983,-0.83373317,05-12-19,05-12-19,240
9.46240167,-0.8654855,9.4177417,-0.8502095,05-12-19,05-12-19,1800
9.4026565,-0.8435085,9.40839017,-0.84426333,05-12-19,05-12-19,540
9.378517,-0.88333,9.40453,-0.84374467,05-12-19,05-12-19,240
9.46240167,-0.8654855,9.378517,-0.8833325,05-12-19,05-12-19,1320
9.46240167,-0.8654855,9.41770583,-0.850165,05-12-19,05-12-19,5040
9.4610825,0.86222517,9.41790517,-0.850227,05-12-19,05-12-19,0
9.4610825,0.86222517,9.41794967,-0.85042467,06-12-19,06-12-19,0
9.4610825,0.86222517,9.4610825,0.86222517,06-12-19,06-12-19,900
9.455565717,-0.868589,9.4610825,0.86222517,06-12-19,06-12-19,120
9.417711,0.8502205,9.4610825,0.86222517,06-12-19,06-12-19,300
9.46248383,-0.86551467,9.417711,0.8502205,06-12-19,06-12-19,720
9.46248383,-0.86551467,9.46248383,-0.86551467,06-12-19,06-12-19,2280
9.40585333,0.84258283,9.46248383,-0.86551467,06-12-19,06-12-19,1020
9.46054183,-0.83272033,9.40585333,0.84258283,06-12-19,06-12-19,720
9.46506933,-0.82272717,9.46059183,-0.83278867,06-12-19,06-12-19,1380
9.46248383,-0.86551467,9.4635288,-0.82093533,06-12-19,06-12-19,720
9.46248383,-0.86551467,9.46248383,-0.86551467,06-12-19,06-12-19,900
9.46248383,-0.86551467,9.399978,-0.85071083,06-12-19,06-12-19,600
9.46248383,-0.86551467,9.46248383,-0.86551467,06-12-19,06-12-19,1080
9.417766,-0.8537067,9.46248383,-0.86551467,06-12-19,06-12-19,420
9.46248383,-0.86551467,9.41769583,-0.85028833,06-12-19,06-12-19,180
9.40427617,-0.859896,9.46248383,-0.86551467,06-12-19,06-12-19,2280
9.46248383,-0.86551467,9.40461383,-0.86042167,06-12-19,06-12-19,2580
9.46248383,-0.86551467,9.46248383,-0.86551467,06-12-19,06-12-19,360
9.42772633,0.87751867,9.46248383,-0.86551467,06-12-19,06-12-19,4200
9.42751617,-0.87792817,9.42710867,-0.8790075,06-12-19,06-12-19,960
9.41758083,0.85025317,9.42712917,-0.878983,06-12-19,06-12-19,720
9.41776883,-0.8502725,9.41770833,-0.8502735,06-12-19,06-12-19,780
9.41530133,-0.84873617,9.41758083,-0.85025317,07-12-19,07-12-19,0
9.40659183,-0.842525,9.41776883,0.8502725,07-12-19,07-12-19,0
9.40731667,-0.84072,9.40646233,-0.8428545,07-12-19,07-12-19,1800
9.1476835,-0.8502725,9.40726383,-0.83992167,07-12-19,07-12-19,1020
9.42772633,0.87751867,9.42137883,-0.85324217,07-12-19,07-12-19,420
9.4027165,-0.85127333,9.42772633,0.87751867,07-12-19,07-12-19,1140
9.40128167,-0.84729817,9.40357633,-0.8513445,07-12-19,07-12-19,1860
9.40918267,-0.82946267,9.40134967,-0.84789817,07-12-19,07-12-19,60
9.42772633,0.87751867,9.41145667,0.82968783,07-12-19,07-12-19,420
9.3991795,0.84280433,9.4039095,-0.84132533,07-12-19,07-12-19,1680
9.42025117,-0.85238817,9.3993085,-0.8427265,07-12-19,07-12-19,120
9.440568,-0.86297883,9.41765683,-0.85032133,07-12-19,07-12-19,3180
9.477912,-0.8693245,9.440568,-0.86297883,07-12-19,07-12-19,300
9.430344,-0.86204933,9.478023,-0.86896467,07-12-19,07-12-19,480
9.433814,-0.869167,9.43062133,-0.86074917,07-12-19,07-12-19,780
9.4252755,-0.8461395,9.46240167,-0.8654855,07-12-19,07-12-19,240
9.46240167,-0.8654855,9.424168,-0.85076117,07-12-19,07-12-19,720
9.39545533,-0.825274,9.40334367,-0.83021217,07-12-19,07-12-19,720
9.46240167,-0.8654855,9.396607,-0.82681617,07-12-19,07-12-19,120
9.46240167,-0.8654855,9.46240167,-0.8654855,07-12-19,07-12-19,480
9.37790233,-0.88763817,9.40475533,-0.860239,07-12-19,07-12-19,1200
9.38819283,-0.8796295,9.37780883,-0.88852133,07-12-19,07-12-19,1560
9.46240167,-0.8654855,9.3875325,-0.8799065,07-12-19,07-12-19,480
9.41765183,-0.8503305,9.46240167,-0.8654855,07-12-19,07-12-19,1080
9.44157733,-0.84390867,9.41770667,-0.8503575,07-12-19,07-12-19,1500
9.46240167,-0.8654855,9.46240167,-0.8654855,07-12-19,07-12-19,480
9.4079045,-0.86198633,9.45130733,-0.85676983,07-12-19,07-12-19,600
